Categoría,Producto,Precio
Enchiladas (Encholadas),Enchilargas (enchiladas largas),$15.00
,Enchiludas (en habanera),$8.00
,Encholadas (enchilada clásica),$8.00
,Enchilocas (con guiso),$17.00
Pambazos (Panvasos),Panvaso (pambazo clásico),$55.00
,Panzaso (pambazo doble),$85.00
,Pantalón (pambazo con 2 tacos),$70.00
,Pantalón miado (con queso),$80.00
Takuaches (tacos),Takobañado (bañados en queso),$40.00
,Takuaches (taco sencillo),$8.00
,Takabrón (tacos dorados con guisado + topo cubano),$125.00
Tostadas (tostones),Tostanchos (tostada XL),$60.00
,Tozthadaz (tostada normal),$22.00
Quesadillas (quesobas),Quesobas (quesadilla con guisado),$28.00
Tortugas (tortas),Tortugas (torta clásica),$50.00
Zapes (sopes),Zape (sope clásico),$18.00
